币种,价格,高胜率多,高胜率空,高胜率多空比,高胜率多人数,高胜率空人数,高胜率多空人数比,低胜率多,低胜率空,低胜率多空比,低胜率多人数,低胜率空人数,低胜率多空人数比,多,空,多空比,多人数,空人数,多空人数比
大盘,0,106.74853408212745,110.20091447607767,0.9686719442360012,147.0001,52.0001,2.8269195636162237,694.0980664701299,863.0739942052401,0.8042161751256203,585.0001,173.0001,3.38150151358294,2151.901875182756,1917.7665312650176,1.1220875117490425,1789.0001,652.0001,2.743864763210926
BTC,64014.7,34.832516664104986,67.17719001653896,0.5185170242388711,15.0001,13.0001,1.1538449704233045,140.23619874020616,295.80390925724,0.4740850081810533,37.0001,39.0001,0.9487180802100508,654.6659567303622,827.9449333758537,0.7907119547927351,163.0001,148.0001,1.1013512828707548
ETH,3063.26,34.60033988050445,16.693490622151508,2.072684536965047,18.0001,10.0001,1.7999920000799992,204.7164582385369,362.92143360946005,0.5640792724819674,41.0001,28.0001,1.4642840561283712,619.0437748034415,630.8228463238463,0.9813274493955823,179.0001,88.0001,2.0340897339889388
DOGE,0.15479,1.2735514719710557,0.740704273623739,1.7193791332409551,3.0000999999999998,1.0001,2.999800019998,1.4701335341631494,2.500931056916376,0.5878344907179528,5.0001,4.0001,1.2499937501562461,30.151152482629488,17.37187036767967,1.7356307550352004,31.0001,11.0001,2.81816528940646
