币种,价格,高胜率多,高胜率空,高胜率多空比,高胜率多人数,高胜率空人数,高胜率多空人数比,低胜率多,低胜率空,低胜率多空比,低胜率多人数,低胜率空人数,低胜率多空人数比,多,空,多空比,多人数,空人数,多空人数比
大盘,0,571.6232465254012,299.656273659417,1.9075964589184478,281.0001,71.0001,3.9577423130389953,1775.5598736550082,1075.264481699637,1.6512773404813264,692.0001,309.0001,2.2394817995204535,5429.4022583494925,2976.3268037547155,1.8241955995894528,2547.0001,1133.0001,2.248014011649249
BTC,26853.2,178.21762412345035,138.41762006912973,1.2875356767039006,38.0001,26.0001,1.4615366863973602,261.3453728244694,374.956106090339,0.6970025786471734,57.0001,55.0001,1.036363570248054,1193.877893441957,1442.743235296241,0.8275054522760011,260.0001,241.0001,1.078838141560937
ETH,1547.21,216.0622289277211,143.41636459160205,1.5065381802347884,44.0001,11.0001,3.9999727275206594,592.9652073642505,259.48887540226787,2.2851276627755897,94.0001,36.0001,2.6111066358149,2107.9061619880085,710.3895867310104,2.96725374549468,390.0001,124.0001,3.145159560355193
DOGE,0.0585,19.872608674619162,1.1084406376031861,17.928437482759826,10.0001,2.0000999999999998,4.9998000099995,20.41029659107166,8.25684403716157,2.471924684444935,21.0001,5.0001,4.1999360012799745,100.1589311537171,21.796411607532413,4.5952027772821165,77.0001,15.0001,5.13330577796148
