币种,价格,高胜率多,高胜率空,高胜率多空比,高胜率多人数,高胜率空人数,高胜率多空人数比,低胜率多,低胜率空,低胜率多空比,低胜率多人数,低胜率空人数,低胜率多空人数比,多,空,多空比,多人数,空人数,多空人数比
大盘,0,258.20565326382285,390.1426727188106,0.6618236643134924,256.0001,169.0001,1.514792594797281,900.6010599115509,1123.9984514962418,0.8012475984399184,495.0001,307.0001,1.612377650691319,3266.447050890558,3738.0133755121806,0.8738457364248974,2045.0001,1365.0001,1.4981684616726403
BTC,37608.1,35.062995030683346,233.64167572020716,0.15007166389558138,17.0001,46.0001,0.36956658789872193,161.47523996012205,616.3522005857136,0.2619853385883488,27.0001,72.0001,0.3750008680543499,838.8030004921594,2164.677022141369,0.38749568268728984,166.0001,326.0001,0.5092026045390784
ETH,2020.67,62.25975638533321,80.58833143698828,0.7725653984288517,27.0001,29.0001,0.9310347205699291,299.7540695261975,258.77127494278017,1.1583745900408748,37.0001,43.0001,0.8604654407780448,596.8040530949021,888.7167715656699,0.6715345903099146,174.0001,215.0001,0.8093024142779468
DOGE,0.08044,4.821485613204947,3.7990339571819085,1.2691346451616043,5.0001,3.0000999999999998,1.6666444451851605,28.21693297428118,2.6225517187430327,10.759342808234615,10.0001,3.0000999999999998,3.333255558148062,48.55828809111956,18.3388740284626,2.6478336682914843,39.0001,24.0001,1.6249973958441841
