币种,价格,高胜率多,高胜率空,高胜率多空比,高胜率多人数,高胜率空人数,高胜率多空人数比,低胜率多,低胜率空,低胜率多空比,低胜率多人数,低胜率空人数,低胜率多空人数比,多,空,多空比,多人数,空人数,多空人数比
大盘,0,527.3513727229358,238.14468322751375,2.2144158986708335,276.0001,73.0001,3.780818108468344,1776.4850915800264,1067.832074311722,1.6636371338864975,691.0001,295.0001,2.342372426314432,5294.7105851798815,3231.578862359512,1.6384284000774747,2557.0001,1160.0001,2.204310241007738
BTC,26905.4,152.33234153960112,149.21777446857115,1.0208726278228064,38.0001,26.0001,1.4615366863973602,294.8797765142949,293.63148199639136,1.0042512284766485,59.0001,51.0001,1.1568624375246324,1173.8997035439854,1397.2603872838488,0.8401438373458386,262.0001,241.0001,1.0871368933041936
ETH,1552.31,210.40435957655382,14.936849957682378,14.086260501554937,44.0001,11.0001,3.9999727275206594,614.8011423763913,243.94385994724246,2.520256679177553,94.0001,36.0001,2.6111066358149,2105.3658386952548,746.7208137517375,2.819481926742203,392.0001,127.0001,3.086612530226354
DOGE,0.05932,17.736749065063233,1.131229352294781,15.679180379365995,8.0001,2.0000999999999998,3.9998500074996253,20.931835276537583,18.70801489760202,1.1188699277345888,21.0001,5.0001,4.1999360012799745,89.05763267703811,20.776885504834954,4.286380297774354,73.0001,15.0001,4.86664088906074
