币种,价格,高胜率多,高胜率空,高胜率多空比,高胜率多人数,高胜率空人数,高胜率多空人数比,低胜率多,低胜率空,低胜率多空比,低胜率多人数,低胜率空人数,低胜率多空人数比,多,空,多空比,多人数,空人数,多空人数比
大盘,0,220.3600203456474,166.50424383829045,1.323449872903311,240.0001,65.0001,3.6923035503022303,855.3599427735962,835.7147721317699,1.0235070281116543,488.0001,161.0001,3.031054639096497,2715.75163520117,2320.1039760906633,1.1705301414021825,2299.0001,1042.0001,2.2063338573575955
BTC,42926.2,56.19801974289274,89.54519256451746,0.627593934787755,18.0001,16.0001,1.1249992187548827,88.45318591553031,359.6159615425599,0.24596568388153162,28.0001,45.0001,0.6222230617265294,402.6434082220997,1178.3639679432617,0.3416969791811277,147.0001,221.0001,0.6651585225527047
ETH,2295.45,75.86029332707092,28.288748211770887,2.6816419291223927,25.0001,5.0001,4.9999200015999685,172.7186281550413,255.42424937880975,0.6762029391300629,25.0001,25.0001,1.0,628.3329100592268,534.6998398552657,1.1751133313024855,182.0001,116.0001,1.5689650267542872
DOGE,0.07905,3.4623184694772293,0.0001,34623.184694772295,8.0001,0.0001,80001.0,24.444458547370072,38.00515482697186,0.6431879743329475,8.0001,2.0000999999999998,3.9998500074996253,52.32781786933549,38.326079585280795,1.365331868940545,46.0001,7.0001,6.571348980728847
