币种,价格,高胜率多,高胜率空,高胜率多空比,高胜率多人数,高胜率空人数,高胜率多空人数比,低胜率多,低胜率空,低胜率多空比,低胜率多人数,低胜率空人数,低胜率多空人数比,多,空,多空比,多人数,空人数,多空人数比
大盘,0,480.97185019420516,525.6982494383121,0.9149200148718483,284.0001,220.0001,1.290908958677746,870.8302843711319,609.2490716818571,1.4293502031396932,563.0001,405.0001,1.3901233604633678,4154.770878027516,3398.1834114512662,1.222644682457894,2431.0001,1951.0001,1.2460276655034515
BTC,30041,119.04504802422096,245.49910982997324,0.48491030418264525,38.0001,61.0001,0.6229514377845282,249.540103396191,246.82454536432127,1.0110019772460697,53.0001,50.0001,1.05999988000024,1210.4847159115718,1307.365948708459,0.9258958573209011,289.0001,325.0001,0.8892308033135989
ETH,1848.01,214.49168140941873,204.09056342769605,1.0509632479181603,49.0001,61.0001,0.8032790110180147,294.4214746560659,152.67597217604268,1.928407400717802,55.0001,35.0001,1.571426938780175,1588.651519214411,1185.4143113590353,1.3401656315360988,361.0001,261.0001,1.3831416156545535
DOGE,0.06379,5.41839491943742,1.5432228680233313,3.511090349754655,8.0001,1.0001,7.999300069993001,15.233812335527201,2.356888655867566,6.4635265215444235,14.0001,4.0001,3.499937501562461,61.38370552710464,10.007687729774176,6.1336551643673,75.0001,17.0001,4.4117446367962545
