币种,价格,高胜率多,高胜率空,高胜率多空比,高胜率多人数,高胜率空人数,高胜率多空人数比,低胜率多,低胜率空,低胜率多空比,低胜率多人数,低胜率空人数,低胜率多空人数比,多,空,多空比,多人数,空人数,多空人数比
大盘,0,270.59579618146824,146.25160250955776,1.8502073928645288,441.0001,77.0001,5.727266587965469,1311.243684569836,1278.464850772988,1.0256392139189663,670.0001,281.0001,2.3843411443625824,3462.29460040114,3009.1333305379344,1.1505952778045216,2473.0001,991.0001,2.4954589812856733
BTC,71231.6,82.07599031969794,89.54315299497947,0.9166082226778389,30.0001,13.0001,2.3076822485980877,120.06728225699115,650.6197145044407,0.18454295125139747,25.0001,80.0001,0.31250085937392574,795.0197805234242,1500.576137082123,0.5298096916757211,157.0001,205.0001,0.7658537727542571
ETH,3814.51,54.99276032858825,26.345836907054558,2.087341560740588,33.0001,9.0001,3.666637037366252,272.10912661547263,341.078366828549,0.7977906342921322,25.0001,40.0001,0.6250009374976562,803.6637091825352,811.4664779687365,0.9903843609094818,189.0001,121.0001,1.5619830066256144
DOGE,0.16148,7.39877781116559,0.0001,73987.77811165589,14.0001,0.0001,140001.0,19.895976549668564,38.26803557586944,0.5199111020533886,15.0001,3.0000999999999998,4.999866671110963,56.96008472655403,70.626199791881,0.8065007730049494,56.0001,12.0001,4.666636111365739
