币种,价格,高胜率多,高胜率空,高胜率多空比,高胜率多人数,高胜率空人数,高胜率多空人数比,低胜率多,低胜率空,低胜率多空比,低胜率多人数,低胜率空人数,低胜率多空人数比,多,空,多空比,多人数,空人数,多空人数比
大盘,0,1381.475003400633,557.177940803423,2.4794143885319913,709.0001,383.0001,1.8511747124870204,1466.2284001344824,1016.9050242222694,1.4418538262763096,582.0001,480.0001,1.2124999557291758,7157.158484878966,3281.4823941464133,2.1810747781691826,3421.0001,1966.0001,1.7400813458758218
BTC,29232,515.3843834552827,120.53187912076679,4.275917601341748,105.0001,47.0001,2.234039927574622,291.1490886015048,463.3072091361905,0.6284147599264328,49.0001,56.0001,0.8750002232138872,2133.8933020971194,1362.4752827269858,1.5661886341351787,492.0001,289.0001,1.7024219022761584
ETH,1853.59,542.8302140123399,340.71673542750085,1.5932009131610314,119.0001,44.0001,2.7045415805873168,479.27942124691003,349.00911632488777,1.3732575993824627,63.0001,43.0001,1.4651151974065175,2693.6115643724584,1162.7607755497231,2.316565557604907,570.0001,232.0001,2.4568959237517567
DOGE,0.07599,29.733565972869705,15.850807749115987,1.8758391650121409,14.0001,8.0001,1.749990625117186,43.664922666025,12.202114223785044,3.5784718832504363,19.0001,9.0001,2.1110987655692717,162.89040265411737,79.8787146224476,2.0392216302431803,72.0001,61.0001,1.1803275732334866
