币种,价格,高胜率多,高胜率空,高胜率多空比,高胜率多人数,高胜率空人数,高胜率多空人数比,低胜率多,低胜率空,低胜率多空比,低胜率多人数,低胜率空人数,低胜率多空人数比,多,空,多空比,多人数,空人数,多空人数比
大盘,0,238.2477610099888,84.1041060656477,2.8327720506775713,327.0001,38.0001,8.605243144096988,890.1502839421919,518.9732457650086,1.7152142065243425,536.0001,207.0001,2.5893712128641484,2844.6875780774276,1341.0885921981226,2.1211779703642235,2051.0001,755.0001,2.71655606403231
BTC,65816.5,58.6970982208369,23.87221961493116,2.458803545193766,20.0001,6.0001,3.333294445092582,206.96271922570983,208.52670533892615,0.9924998282082177,32.0001,41.0001,0.7804883402723408,573.5657865889209,545.6177848425302,1.0512226736788954,145.0001,147.0001,0.9863945670785258
ETH,3306.42,63.82209728898269,18.493719286881817,3.4510147093155963,22.0001,3.0000999999999998,7.3331222292590255,242.6812236264263,156.35915367111514,1.5520755768279513,41.0001,25.0001,1.6399974400102402,696.8124444786747,299.9602729673674,2.323015770006586,193.0001,78.0001,2.4743570841575844
DOGE,0.17565,0.8801135492532015,1.1891874764423764,0.7400965505339717,6.0001,1.0001,5.999500049995,29.12721642425847,15.971657813168864,1.8236814715779008,8.0001,3.0000999999999998,2.6666111129629013,86.22424744814872,28.935164799755892,2.9799120912169865,39.0001,17.0001,2.294110034646855
