币种,价格,高胜率多,高胜率空,高胜率多空比,高胜率多人数,高胜率空人数,高胜率多空人数比,低胜率多,低胜率空,低胜率多空比,低胜率多人数,低胜率空人数,低胜率多空人数比,多,空,多空比,多人数,空人数,多空人数比
大盘,0,453.3698279128546,178.50851629802872,2.539765817984456,349.0001,119.0001,2.9327714850659787,1465.182213554902,793.8200220211568,1.8457360269452265,864.0001,277.0001,3.1191328089773256,4446.651492160783,2787.8531678302165,1.5950092147864472,2646.0001,1341.0001,1.9731542898468093
BTC,26505.4,81.16946650729332,108.20592275121952,0.7501388504759876,26.0001,28.0001,0.9285716836725583,343.5503401589665,277.5079890058344,1.2379836032459,83.0001,42.0001,1.9761881519329716,1240.5943581674167,1270.180395856445,0.9767072159312619,282.0001,224.0001,1.2589284558355107
ETH,1626,116.71588783918207,29.74492261541107,3.9238928051105666,32.0001,19.0001,1.6842069252267096,268.63389327434663,283.18496659310676,0.9486163637363286,91.0001,41.0001,2.2195092207092175,1007.4805907861838,870.1814444440307,1.1577822041814223,306.0001,181.0001,1.6906073532556058
DOGE,0.06169,2.307963864653167,0.0001,23079.63864653167,4.0001,0.0001,40000.99999999999,29.19598234565656,15.541188569928549,1.8786196573246257,18.0001,5.0001,3.599948001039979,89.84356285590232,37.34697788519166,2.4056447922530815,61.0001,18.0001,3.3888756173576815
