币种,价格,高胜率多,高胜率空,高胜率多空比,高胜率多人数,高胜率空人数,高胜率多空人数比,低胜率多,低胜率空,低胜率多空比,低胜率多人数,低胜率空人数,低胜率多空人数比,多,空,多空比,多人数,空人数,多空人数比
大盘,0,254.62647306621153,735.186758704254,0.34634257221251313,278.0001,195.0001,1.4256408073636884,740.3638457010517,1769.918224863822,0.4183039845007616,443.0001,308.0001,1.438311546002745,2317.980294202669,5547.4552392016285,0.4178456957746026,1999.0001,1494.0001,1.3380187190081179
BTC,39635.8,48.14432751387359,490.59768192642014,0.09813402975086678,13.0001,53.0001,0.24528444285954176,211.83243978119734,967.9130552590642,0.21885482237296602,25.0001,69.0001,0.3623197647539641,601.1949780664391,3227.2061940898648,0.18628960838245662,130.0001,333.0001,0.3903905734562843
ETH,2157.12,49.56897753797363,122.88511062902684,0.4033765952948972,21.0001,41.0001,0.5121963117163129,115.2243941320015,615.4871354883448,0.18720845244081213,30.0001,51.0001,0.5882361014978401,438.3067016241182,1483.9852797818928,0.29535784997041065,161.0001,261.0001,0.6168583843454467
DOGE,0.08412,5.233876019280855,1.3467915901766423,3.8861810969538286,8.0001,3.0000999999999998,2.6666111129629013,2.4445577038368627,17.997614344237896,0.13582676331874566,9.0001,7.0001,1.2857102041399409,35.89832272593246,29.35203386824815,1.223026754706965,47.0001,26.0001,1.8076892011953802
