币种,价格,高胜率多,高胜率空,高胜率多空比,高胜率多人数,高胜率空人数,高胜率多空人数比,低胜率多,低胜率空,低胜率多空比,低胜率多人数,低胜率空人数,低胜率多空人数比,多,空,多空比,多人数,空人数,多空人数比
大盘,0,322.3685494777306,104.38768612609805,3.0881856035041952,475.0001,107.0001,4.439249122197082,1234.9907819631094,745.342883929438,1.6569431446802765,594.0001,251.0001,2.366533320106247,3496.022425935557,1907.5411607622987,1.8327376089428462,2384.0001,918.0001,2.5969497171078744
BTC,67705,119.66348263341371,9.78510547319119,12.229145915827125,37.0001,6.0001,6.166580556990717,219.3764280770669,253.7170796573742,0.8646498232334939,35.0001,50.0001,0.7000005999988,988.8665470844487,678.9506346833169,1.456463101394236,195.0001,136.0001,1.43382321042411
ETH,3796.02,55.81745557337943,30.549100548488248,1.8271390833515593,37.0001,7.0001,5.285653062099113,158.95832074447907,236.8256630782581,0.6712039509499945,24.0001,39.0001,0.6153856015753805,663.9183891601746,519.5099213195173,1.2779705678649416,184.0001,114.0001,1.6140345490925008
DOGE,0.1595,4.265885727432873,0.2015284112481848,21.167664157186156,11.0001,2.0000999999999998,5.499775011249438,12.603231886335134,37.66436731707825,0.33461950336864993,9.0001,5.0001,1.7999840003199936,67.86515290838571,54.911304378956714,1.2359049502818442,56.0001,14.0001,3.999978571581632
