ID,昵称,法币,带单规模,跟单收益,人数上限,跟单人数,累计跟单人数,近七日跟单人数,近七日跟单比例,平均持仓秒,盈利笔数,亏损笔数,总笔数,盈亏比,胜率,收益率,收益额,总做多倍数,总做空倍数,币种,币种类型,杠杆倍数,开仓均价,开仓时间,强平价,全仓逐仓,当前收益率,仓位倍数,多空,net方向
F3688D46D0CC6370,AI Alpha,USDT,1280.2824809235042796,-61626.4188455100235929,100,66,1468,0,0.0000,994111.0,60,35,95,0.313,0.3571,-0.3578,-473.6907000000000721,3.31,,SNX-USDT-SWAP,SWAP,3,2.6503157894736843,1690772792818,1.7838068376908383,isolated,-0.2980578282627692,0.2447550871362653,net,1
F3688D46D0CC6370,AI Alpha,USDT,1280.2824809235042796,-61626.4188455100235929,100,66,1468,0,0.0000,994111.0,60,35,95,0.313,0.3571,-0.3578,-473.6907000000000721,3.31,,BNB-USDT-SWAP,SWAP,3,244.7660162601626017,1689321088118,164.46635082701596,isolated,-0.1785298851865165,0.1635712104176385,net,1
F3688D46D0CC6370,AI Alpha,USDT,1280.2824809235042796,-61626.4188455100235929,100,66,1468,0,0.0000,994111.0,60,35,95,0.313,0.3571,-0.3578,-473.6907000000000721,3.31,,ADA-USDT-SWAP,SWAP,3,0.3416185714285715,1689311904862,0.2296200659069646,isolated,-0.140846307285068,0.2049888389921934,net,1
F3688D46D0CC6370,AI Alpha,USDT,1280.2824809235042796,-61626.4188455100235929,100,66,1468,0,0.0000,994111.0,60,35,95,0.313,0.3571,-0.3578,-473.6907000000000721,3.31,,ALGO-USDT-SWAP,SWAP,3,0.1076467843181925,1688402175082,0.0724952829780679,isolated,0.1452867091616354,0.1624181223392729,net,1
F3688D46D0CC6370,AI Alpha,USDT,1280.2824809235042796,-61626.4188455100235929,100,66,1468,0,0.0000,994111.0,60,35,95,0.313,0.3571,-0.3578,-473.6907000000000721,3.31,,ETC-USDT-SWAP,SWAP,3,19.1521158730158732,1688183118562,12.890642447357433,isolated,-0.3023346170960594,0.9294141756136888,net,1
F3688D46D0CC6370,AI Alpha,USDT,1280.2824809235042796,-61626.4188455100235929,100,66,1468,0,0.0000,994111.0,60,35,95,0.313,0.3571,-0.3578,-473.6907000000000721,3.31,,ETH-USDT-SWAP,SWAP,3,1933.19386,1681484640483,1295.6303652827105,isolated,-0.1618624942249711,0.8224926894079854,net,1
D12842610C68C44B,Lean-Burn-Engine,USDT,0,-587.4633275000002988,100,0,4,0,0.0000,155700.0,3,0,3,0.0,1,1.2578,149.486,7.63,,SHIB-USDT-SWAP,SWAP,20,0.0000077372,1699019348560,0.0000019584281771,cross,0.232125316652021,1.2713597153126225,long,1
D12842610C68C44B,Lean-Burn-Engine,USDT,0,-587.4633275000002988,100,0,4,0,0.0000,155700.0,3,0,3,0.0,1,1.2578,149.486,7.63,,OP-USDT-SWAP,SWAP,20,1.35,1698161449418,1.121571408856736,cross,0.962962962962961,4.5968416945633342,long,1
D12842610C68C44B,Lean-Burn-Engine,USDT,0,-587.4633275000002988,100,0,4,0,0.0000,155700.0,3,0,3,0.0,1,1.2578,149.486,7.63,,PEPE-USDT-SWAP,SWAP,20,0.0000006766,1694680739364,0.0000004991428177,cross,12.101684895063553,1.7640176962175906,long,1
6FE07C205E720923,get rich-168,USDT,83.0656866537596236,-25466.0907617500000073,500,22,475,1,0.0021,16548.0,748,10,758,0.0659,0.875,0.1298,575.7978430999988949,,5.01,BCH-USDT-SWAP,SWAP,50,238.0023994638069718,1699039959085,283.5487055251577,cross,-0.0121008309838078,5.0145821774945411,short,1
